iter	Passed	Remaining
0	40	81532
1	65	65368
2	91	60932
3	116	58023
4	147	58873
5	172	57335
6	197	56185
7	222	55325
8	254	56298
9	281	56037
10	318	57632
11	345	57178
12	371	56738
13	398	56531
14	424	56236
15	469	58223
16	516	60210
17	546	60142
18	573	59747
19	602	59659
20	642	60544
21	669	60220
22	697	59923
23	725	59724
24	751	59396
25	785	59612
26	831	60727
27	860	60581
28	898	61085
29	936	61507
30	965	61300
31	1000	61548
32	1053	62809
33	1083	62627
34	1116	62677
35	1146	62524
36	1176	62423
37	1207	62333
38	1263	63548
39	1293	63399
40	1322	63190
41	1349	62924
42	1378	62728
43	1407	62572
44	1454	63184
45	1482	62984
46	1512	62833
47	1540	62627
48	1568	62455
49	1596	62253
50	1634	62455
51	1663	62330
52	1692	62176
53	1722	62060
54	1749	61876
55	1782	61885
56	1827	62286
57	1857	62196
58	1887	62080
59	1915	61930
60	1943	61763
61	1971	61631
62	2024	62257
63	2052	62090
64	2083	62015
65	2110	61838
66	2138	61695
67	2166	61554
68	2205	61733
69	2236	61657
70	2264	61526
71	2294	61449
72	2321	61289
73	2349	61158
74	2396	61508
75	2425	61397
76	2453	61269
77	2482	61159
78	2510	61048
79	2538	60919
80	2585	61243
81	2615	61179
82	2644	61069
83	2671	60928
84	2698	60792
85	2725	60661
86	2773	60990
87	2803	60904
88	2839	60962
89	2867	60861
90	2894	60730
91	2924	60646
92	2969	60881
93	3001	60850
94	3030	60774
95	3062	60736
96	3091	60643
97	3117	60511
98	3169	60856
99	3197	60759
100	3226	60670
101	3254	60558
102	3282	60452
103	3312	60395
104	3351	60480
105	3380	60408
106	3409	60320
107	3437	60224
108	3465	60127
109	3492	60009
110	3522	59950
111	3571	60203
112	3600	60127
113	3632	60096
114	3663	60046
115	3692	59963
116	3743	60248
117	3782	60320
118	3816	60329
119	3846	60254
120	3877	60220
121	3909	60177
122	3940	60126
123	3978	60197
124	4009	60145
125	4044	60160
126	4072	60061
127	4101	59982
128	4129	59897
129	4175	60056
130	4205	60004
131	4233	59906
132	4262	59837
133	4291	59755
134	4319	59673
135	4361	59778
136	4392	59731
137	4421	59656
138	4452	59612
139	4486	59605
140	4514	59522
141	4559	59653
142	4590	59610
143	4618	59522
144	4646	59439
145	4673	59343
146	4706	59323
147	4753	59484
148	4790	59507
149	4821	59469
150	4852	59423
151	4883	59373
152	4915	59338
153	4951	59356
154	4982	59308
155	5013	59260
156	5042	59195
157	5080	59228
158	5110	59176
159	5155	59289
160	5184	59217
161	5214	59156
162	5245	59111
163	5272	59027
164	5301	58959
165	5344	59047
166	5374	58992
167	5403	58929
168	5432	58858
169	5467	58856
170	5498	58807
171	5530	58778
172	5564	58769
173	5595	58718
174	5628	58694
175	5656	58626
176	5686	58569
177	5716	58518
178	5751	58515
179	5783	58474
180	5810	58397
181	5839	58331
182	5869	58274
183	5901	58241
184	5943	58305
185	5973	58257
186	6004	58210
187	6037	58192
188	6068	58144
189	6099	58101
190	6148	58238
191	6192	58309
192	6237	58401
193	6275	58424
194	6323	58532
195	6360	58547
196	6396	58545
197	6437	58587
198	6471	58567
199	6506	58560
200	6535	58491
201	6564	58428
202	6596	58394
203	6626	58338
204	6655	58275
205	6697	58329
206	6727	58273
207	6759	58233
208	6792	58205
209	6830	58223
210	6891	58428
211	6949	58614
212	6988	58628
213	7028	58658
214	7068	58687
215	7118	58795
216	7151	58763
217	7183	58717
218	7214	58670
219	7243	58609
220	7277	58582
221	7315	58586
222	7345	58531
223	7374	58468
224	7404	58416
225	7435	58368
226	7464	58300
227	7505	58335
228	7543	58342
229	7601	58496
230	7643	58534
231	7690	58607
232	7739	58691
233	7772	58662
234	7805	58623
235	7836	58571
236	7866	58516
237	7909	58557
238	7943	58529
239	7975	58489
240	8010	58466
241	8042	58423
242	8074	58379
243	8116	58409
244	8148	58371
245	8177	58306
246	8208	58256
247	8238	58201
248	8267	58137
249	8313	58191
250	8343	58135
251	8376	58105
252	8409	58065
253	8442	58034
254	8487	58082
255	8526	58087
256	8561	58064
257	8596	58044
258	8629	58009
259	8661	57967
260	8708	58021
261	8738	57968
262	8769	57916
263	8800	57872
264	8836	57853
265	8875	57854
266	8911	57838
267	8940	57779
268	8972	57735
269	9004	57695
270	9037	57660
271	9067	57604
272	9108	57623
273	9139	57572
274	9171	57528
275	9199	57466
276	9229	57408
277	9260	57361
278	9296	57346
279	9328	57306
280	9359	57255
281	9390	57207
282	9421	57161
283	9450	57101
284	9496	57144
285	9526	57094
286	9556	57041
287	9578	56939
288	9611	56903
289	9643	56863
290	9681	56858
291	9717	56839
292	9748	56794
293	9777	56737
294	9809	56695
295	9844	56675
296	9885	56681
297	9917	56640
298	9947	56588
299	9978	56544
300	10011	56512
301	10043	56467
302	10085	56485
303	10115	56435
304	10148	56396
305	10177	56341
306	10206	56287
307	10241	56260
308	10279	56252
309	10311	56213
310	10342	56170
311	10375	56134
312	10408	56100
313	10440	56056
314	10481	56069
315	10511	56018
316	10543	55975
317	10575	55937
318	10607	55898
319	10641	55869
320	10680	55867
321	10714	55834
322	10743	55777
323	10764	55683
324	10799	55659
325	10836	55645
326	10884	55689
327	10919	55660
328	10954	55635
329	10983	55584
330	11015	55541
331	11050	55517
332	11084	55489
333	11114	55439
334	11146	55398
335	11177	55355
336	11206	55303
337	11236	55249
338	11274	55241
339	11307	55207
340	11339	55169
341	11379	55166
342	11408	55114
343	11437	55059
344	11472	55034
345	11504	54996
346	11538	54964
347	11569	54922
348	11599	54872
349	11637	54863
350	11670	54829
351	11702	54790
352	11733	54747
353	11763	54698
354	11799	54674
355	11834	54653
356	11880	54677
357	11912	54638
358	11946	54605
359	11977	54563
360	12023	54589
361	12062	54580
362	12104	54585
363	12141	54568
364	12174	54535
365	12208	54504
366	12255	54531
367	12287	54490
368	12319	54454
369	12349	54404
370	12379	54356
371	12421	54359
372	12454	54325
373	12489	54300
374	12535	54319
375	12569	54290
376	12613	54301
377	12648	54276
378	12683	54246
